DNAExtractionGroup	DNAExtractionBatch	SampleID	Donor	Condition	Replicate	TubePosition	DNAExtractionDate	PowerFecalLot	PowerFecalKit	DNAConcentration	X100ng.DNA	ExtractedBy	sample	Kit	Temperature
2	2	D09_OF_R2	D09	OF	R2	18	August 30, 2021	169031860	Kit 3	35.4	2.82	Dylan	D09.OF.R2	Omnigene	Frozen
2	2	D04_OH_R2	D04	OH	R2	19	August 30, 2021	169031860	Kit 3	52.4	1.91	Dylan	D04.OH.R2	Omnigene	Hot
2	3	D02_OF_R2	D02	OF	R2	1	August 30, 2021	169031860	Kit 1	4.92	20.33	Dylan	D02.OF.R2	Omnigene	Frozen
2	3	D10_ZH_R2	D10	ZH	R2	2	August 30, 2021	169031860	Kit 1	2.44	40.98	Dylan	D10.ZH.R2	Zymo	Hot
2	3	D10_OF_R2	D10	OF	R2	3	August 30, 2021	169031860	Kit 1	8.48	11.79	Dylan	D10.OF.R2	Omnigene	Frozen
2	3	D04_ZR_R2	D04	ZR	R2	4	August 30, 2021	169031860	Kit 1	5.4	18.52	Dylan	D04.ZR.R2	Zymo	Room Temp
2	3	D08_ZR_R2	D08	ZR	R2	5	August 30, 2021	169031860	Kit 1	3.18	31.45	Dylan	D08.ZR.R2	Zymo	Room Temp
2	3	D09_NF_R2	D09	NF	R2	8	August 30, 2021	169031860	Kit 1	134	0.75	Dylan	D09.NF.R2	No Preservative	Frozen
2	3	D03_ZF_R2	D03	ZF	R2	9	August 30, 2021	169031860	Kit 1	8	12.5	Dylan	D03.ZF.R2	Zymo	Frozen
2	3	D06_ZH_R2	D06	ZH	R2	10	August 30, 2021	169031860	Kit 1	1.74	57.47	Dylan	D06.ZH.R2	Zymo	Hot
2	3	D02_ZH_R2	D02	ZH	R2	11	August 30, 2021	169031860	Kit 2	3.2	31.25	Dylan	D02.ZH.R2	Zymo	Hot
2	3	D08_OR_R2	D08	OR	R2	12	August 30, 2021	169031860	Kit 2	4.18	23.92	Dylan	D08.OR.R2	Omnigene	Room Temp
2	3	D01_NF_R2	D01	NF	R2	13	August 30, 2021	169031860	Kit 2	5.9	16.95	Dylan	D01.NF.R2	No Preservative	Frozen
2	3	D09_OH_R2	D09	OH	R2	14	August 30, 2021	169031860	Kit 2	8.12	12.32	Dylan	D09.OH.R2	Omnigene	Hot
2	3	D05_NF_R2	D05	NF	R2	15	August 30, 2021	169031860	Kit 2	26	3.85	Dylan	D05.NF.R2	No Preservative	Frozen
2	3	D05_OH_R2	D05	OH	R2	16	August 30, 2021	169031860	Kit 2	50.4	1.98	Dylan	D05.OH.R2	Omnigene	Hot
2	3	D06_OF_R2	D06	OF	R2	17	August 30, 2021	169031860	Kit 2	29	3.45	Dylan	D06.OF.R2	Omnigene	Frozen
2	3	D04_OR_R2	D04	OR	R2	18	August 30, 2021	169031860	Kit 2	25.8	3.88	Dylan	D04.OR.R2	Omnigene	Room Temp
2	3	D07_ZF_R2	D07	ZF	R2	19	August 30, 2021	169031860	Kit 2	9.26	10.8	Dylan	D07.ZF.R2	Zymo	Frozen
2	3	D01_OH_R2	D01	OH	R2	20	August 30, 2021	169031860	Kit 2	39.6	2.53	Dylan	D01.OH.R2	Omnigene	Hot
2	4	D06_OH_R2	D06	OH	R2	1	August 30, 2021	169031860	Kit 4	54.8	1.82	Dylan	D06.OH.R2	Omnigene	Hot
2	4	D09_OR_R2	D09	OR	R2	2	August 30, 2021	169031860	Kit 4	46.4	2.16	Dylan	D09.OR.R2	Omnigene	Room Temp
2	4	D03_ZH_R2	D03	ZH	R2	3	August 30, 2021	169031860	Kit 4	2.84	35.21	Dylan	D03.ZH.R2	Zymo	Hot
2	4	D05_OR_R2	D05	OR	R2	4	August 30, 2021	169031860	Kit 4	64.4	1.55	Dylan	D05.OR.R2	Omnigene	Room Temp
2	4	D05_ZR_R2	D05	ZR	R2	6	August 30, 2021	169031860	Kit 4	6.42	15.58	Dylan	D05.ZR.R2	Zymo	Room Temp
2	4	D10_OH_R2	D10	OH	R2	7	August 30, 2021	169031860	Kit 4	18.4	5.43	Dylan	D10.OH.R2	Omnigene	Hot
2	4	D02_OH_R2	D02	OH	R2	8	August 30, 2021	169031860	Kit 4	62	1.61	Dylan	D02.OH.R2	Omnigene	Hot
2	4	D04_ZF_R2	D04	ZF	R2	9	August 30, 2021	169031860	Kit 4	6.84	14.62	Dylan	D04.ZF.R2	Zymo	Frozen
2	4	D08_ZF_R2	D08	ZF	R2	11	August 30, 2021	169031860	Kit 4	7.02	14.25	Dylan	D08.ZF.R2	Zymo	Frozen
2	4	D02_NF_R2	D02	NF	R2	12	August 30, 2021	169031860	Kit 4	104	0.96	Dylan	D02.NF.R2	No Preservative	Frozen
2	4	D01_ZR_R2	D01	ZR	R2	13	August 30, 2021	169031860	Kit 4	11	9.09	Dylan	D01.ZR.R2	Zymo	Room Temp
2	4	D09_ZR_R2	D09	ZR	R2	14	August 30, 2021	169031860	Kit 4	3.14	31.85	Dylan	D09.ZR.R2	Zymo	Room Temp
2	4	D07_OF_R2	D07	OF	R2	15	August 30, 2021	169031860	Kit 4	78.8	1.27	Dylan	D07.OF.R2	Omnigene	Frozen
2	4	D07_ZH_R2	D07	ZH	R2	16	August 30, 2021	169031860	Kit 4	4.86	20.58	Dylan	D07.ZH.R2	Zymo	Hot
2	4	D10_NF_R2	D10	NF	R2	17	August 30, 2021	169031860	Kit 4	7.16	13.97	Dylan	D10.NF.R2	No Preservative	Frozen
2	4	D06_NF_R2	D06	NF	R2	18	August 30, 2021	169031860	Kit 4	12.8	7.81	Dylan	D06.NF.R2	No Preservative	Frozen
2	4	D03_OF_R2	D03	OF	R2	19	August 30, 2021	169031860	Kit 4	26.2	3.82	Dylan	D03.OF.R2	Omnigene	Frozen
2	4	D01_OR_R2	D01	OR	R2	20	August 30, 2021	169031860	Kit 4	58	1.72	Dylan	D01.OR.R2	Omnigene	Room Temp
3	1	D01_ZH_R3	D01	ZH	R3	1	August 30, 2021	169031860	Kit 4	3.48	28.74	Dylan	D01.ZH.R3	Zymo	Hot
3	1	D08_OH_R3	D08	OH	R3	2	August 30, 2021	169031860	Kit 4	5.16	19.38	Dylan	D08.OH.R3	Omnigene	Hot
3	1	D05_ZR_R3	D05	ZR	R3	3	August 30, 2021	169031860	Kit 4	9.38	10.66	Dylan	D05.ZR.R3	Zymo	Room Temp
3	1	D03_OF_R3	D03	OF	R3	4	August 30, 2021	169031860	Kit 4	31.2	3.21	Dylan	D03.OF.R3	Omnigene	Frozen
